number_of_k,distance,policy,weight,acc_fold0,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_fold6,acc_fold7,acc_fold8,acc_fold9
7,manhattan,sheppard,,0.9413333333333334,0.9365079365079365,0.9389920424403183,0.9310344827586207,0.9365079365079365,0.9312169312169312,0.9312169312169312,0.9391534391534392,0.946949602122016,0.949468085106383
1,chebyshev,majority,,0.92,0.8994708994708994,0.9151193633952255,0.9098143236074271,0.9047619047619048,0.9021164021164021,0.8941798941798942,0.9074074074074074,0.9257294429708223,0.9361702127659575
3,chebyshev,majority,,0.9386666666666666,0.9285714285714286,0.9389920424403183,0.9230769230769231,0.9232804232804233,0.9285714285714286,0.9206349206349206,0.9259259259259259,0.9336870026525199,0.9468085106382979
5,chebyshev,majority,,0.9386666666666666,0.9312169312169312,0.946949602122016,0.9310344827586207,0.9365079365079365,0.9312169312169312,0.9259259259259259,0.9259259259259259,0.9283819628647215,0.949468085106383
7,chebyshev,majority,,0.9386666666666666,0.9285714285714286,0.946949602122016,0.9310344827586207,0.9365079365079365,0.9259259259259259,0.9232804232804233,0.9338624338624338,0.9336870026525199,0.9468085106382979
1,chebyshev,inverse_distance,,0.92,0.8994708994708994,0.9151193633952255,0.9098143236074271,0.9047619047619048,0.9021164021164021,0.8941798941798942,0.9074074074074074,0.9257294429708223,0.9361702127659575
3,chebyshev,inverse_distance,,0.936,0.9259259259259259,0.9389920424403183,0.9204244031830239,0.9206349206349206,0.9232804232804233,0.9206349206349206,0.9232804232804233,0.9336870026525199,0.9547872340425532
5,chebyshev,inverse_distance,,0.9386666666666666,0.9285714285714286,0.9416445623342176,0.9257294429708223,0.9312169312169312,0.9312169312169312,0.9312169312169312,0.9206349206349206,0.9310344827586207,0.9547872340425532
7,chebyshev,inverse_distance,,0.9386666666666666,0.9259259259259259,0.946949602122016,0.9283819628647215,0.9338624338624338,0.9259259259259259,0.9285714285714286,0.9259259259259259,0.9336870026525199,0.949468085106383
1,chebyshev,sheppard,,0.92,0.8994708994708994,0.9151193633952255,0.9098143236074271,0.9047619047619048,0.9021164021164021,0.8941798941798942,0.9074074074074074,0.9257294429708223,0.9361702127659575
3,chebyshev,sheppard,,0.9386666666666666,0.9285714285714286,0.9389920424403183,0.9230769230769231,0.9232804232804233,0.9285714285714286,0.9232804232804233,0.9259259259259259,0.9336870026525199,0.949468085106383
5,chebyshev,sheppard,,0.9386666666666666,0.9312169312169312,0.946949602122016,0.9310344827586207,0.9338624338624338,0.9312169312169312,0.9285714285714286,0.9232804232804233,0.9310344827586207,0.949468085106383
7,chebyshev,sheppard,,0.9386666666666666,0.9285714285714286,0.946949602122016,0.9310344827586207,0.9365079365079365,0.9259259259259259,0.9232804232804233,0.9338624338624338,0.9336870026525199,0.9468085106382979
1,euclidean,majority,ig,0.9493333333333334,0.9444444444444444,0.9522546419098143,0.9389920424403183,0.955026455026455,0.9232804232804233,0.9391534391534392,0.9365079365079365,0.9416445623342176,0.9601063829787234
3,euclidean,majority,ig,0.9546666666666667,0.9470899470899471,0.9575596816976127,0.946949602122016,0.9603174603174603,0.9417989417989417,0.9470899470899471,0.9444444444444444,0.9575596816976127,0.9680851063829787
5,euclidean,majority,ig,0.9546666666666667,0.9470899470899471,0.9549071618037135,0.946949602122016,0.9523809523809523,0.9444444444444444,0.9417989417989417,0.9391534391534392,0.9575596816976127,0.9627659574468085
7,euclidean,majority,ig,0.9466666666666667,0.9444444444444444,0.9522546419098143,0.9522546419098143,0.9497354497354498,0.9470899470899471,0.9365079365079365,0.9391534391534392,0.9575596816976127,0.9601063829787234
1,euclidean,inverse_distance,ig,0.9493333333333334,0.9444444444444444,0.9522546419098143,0.9389920424403183,0.955026455026455,0.9232804232804233,0.9391534391534392,0.9365079365079365,0.9416445623342176,0.9601063829787234
3,euclidean,inverse_distance,ig,0.9546666666666667,0.9497354497354498,0.9602122015915119,0.9496021220159151,0.9603174603174603,0.9417989417989417,0.9523809523809523,0.9417989417989417,0.9575596816976127,0.9680851063829787
5,euclidean,inverse_distance,ig,0.9546666666666667,0.9470899470899471,0.9575596816976127,0.946949602122016,0.9576719576719577,0.9444444444444444,0.9417989417989417,0.9417989417989417,0.9602122015915119,0.9654255319148937
7,euclidean,inverse_distance,ig,0.9493333333333334,0.9470899470899471,0.9549071618037135,0.9522546419098143,0.955026455026455,0.9470899470899471,0.9417989417989417,0.9391534391534392,0.9575596816976127,0.9627659574468085
1,euclidean,sheppard,ig,0.9493333333333334,0.9444444444444444,0.9522546419098143,0.9389920424403183,0.955026455026455,0.9232804232804233,0.9391534391534392,0.9365079365079365,0.9416445623342176,0.9601063829787234
3,euclidean,sheppard,ig,0.9546666666666667,0.9470899470899471,0.9575596816976127,0.946949602122016,0.9603174603174603,0.9417989417989417,0.9470899470899471,0.9444444444444444,0.9575596816976127,0.9680851063829787
5,euclidean,sheppard,ig,0.9546666666666667,0.9470899470899471,0.9549071618037135,0.946949602122016,0.9523809523809523,0.9444444444444444,0.9417989417989417,0.9391534391534392,0.9549071618037135,0.9627659574468085
7,euclidean,sheppard,ig,0.9466666666666667,0.9444444444444444,0.9549071618037135,0.9522546419098143,0.9497354497354498,0.9470899470899471,0.9365079365079365,0.9391534391534392,0.9575596816976127,0.9601063829787234
1,manhattan,majority,ig,0.96,0.9629629629629629,0.9628647214854111,0.9416445623342176,0.9788359788359788,0.9629629629629629,0.9497354497354498,0.9656084656084656,0.9787798408488063,0.9680851063829787
3,manhattan,majority,ig,0.9493333333333334,0.9497354497354498,0.9602122015915119,0.9416445623342176,0.9708994708994709,0.9682539682539683,0.9523809523809523,0.9470899470899471,0.9787798408488063,0.9654255319148937
5,manhattan,majority,ig,0.952,0.9523809523809523,0.9655172413793104,0.9522546419098143,0.9708994708994709,0.955026455026455,0.9523809523809523,0.9497354497354498,0.9708222811671088,0.9707446808510638
7,manhattan,majority,ig,0.9546666666666667,0.9523809523809523,0.9575596816976127,0.9522546419098143,0.9682539682539683,0.9523809523809523,0.9523809523809523,0.9497354497354498,0.9655172413793104,0.9627659574468085
1,manhattan,inverse_distance,ig,0.96,0.9629629629629629,0.9628647214854111,0.9416445623342176,0.9788359788359788,0.9629629629629629,0.9497354497354498,0.9656084656084656,0.9787798408488063,0.9680851063829787
3,manhattan,inverse_distance,ig,0.9546666666666667,0.9523809523809523,0.9628647214854111,0.9442970822281167,0.9708994708994709,0.9682539682539683,0.9576719576719577,0.9497354497354498,0.9787798408488063,0.9654255319148937
5,manhattan,inverse_distance,ig,0.9546666666666667,0.9523809523809523,0.9681697612732095,0.9522546419098143,0.9735449735449735,0.9576719576719577,0.9523809523809523,0.9497354497354498,0.9734748010610079,0.9707446808510638
7,manhattan,inverse_distance,ig,0.9546666666666667,0.9523809523809523,0.9602122015915119,0.9522546419098143,0.9682539682539683,0.955026455026455,0.9523809523809523,0.9497354497354498,0.9655172413793104,0.9627659574468085
1,manhattan,sheppard,ig,0.96,0.9629629629629629,0.9628647214854111,0.9416445623342176,0.9788359788359788,0.9629629629629629,0.9497354497354498,0.9656084656084656,0.9787798408488063,0.9680851063829787
3,manhattan,sheppard,ig,0.9493333333333334,0.9497354497354498,0.9602122015915119,0.9416445623342176,0.9708994708994709,0.9682539682539683,0.9523809523809523,0.9470899470899471,0.9787798408488063,0.9654255319148937
5,manhattan,sheppard,ig,0.952,0.9523809523809523,0.9655172413793104,0.9522546419098143,0.9708994708994709,0.955026455026455,0.9523809523809523,0.9497354497354498,0.9708222811671088,0.9707446808510638
7,manhattan,sheppard,ig,0.9546666666666667,0.9523809523809523,0.9575596816976127,0.9522546419098143,0.9682539682539683,0.9523809523809523,0.9523809523809523,0.9497354497354498,0.9655172413793104,0.9627659574468085
1,chebyshev,majority,ig,0.9493333333333334,0.9444444444444444,0.9628647214854111,0.9416445623342176,0.9682539682539683,0.9444444444444444,0.9523809523809523,0.9391534391534392,0.9602122015915119,0.9574468085106383
3,chebyshev,majority,ig,0.96,0.9417989417989417,0.9602122015915119,0.9496021220159151,0.9708994708994709,0.9470899470899471,0.9523809523809523,0.9523809523809523,0.9549071618037135,0.9654255319148937
5,chebyshev,majority,ig,0.952,0.9470899470899471,0.9522546419098143,0.9416445623342176,0.9682539682539683,0.9470899470899471,0.955026455026455,0.9417989417989417,0.9575596816976127,0.9680851063829787
7,chebyshev,majority,ig,0.952,0.9497354497354498,0.9496021220159151,0.9389920424403183,0.9629629629629629,0.9497354497354498,0.9523809523809523,0.9391534391534392,0.9628647214854111,0.9680851063829787
1,chebyshev,inverse_distance,ig,0.9493333333333334,0.9444444444444444,0.9628647214854111,0.9416445623342176,0.9682539682539683,0.9444444444444444,0.9523809523809523,0.9391534391534392,0.9602122015915119,0.9574468085106383
